,PostTitle,Version,PostDate,GameTitle,GameHeader,GameInfo,FamilyA,FamilyB,FamilyAInfo,FamilyBInfo,FamilyA_,FamilyB_
92,“Celebrity Family Feud” 7/31/22,Celebrity,,"G1:  Ruffins (Boys & Girls Clubs)(Amber, sister Lacey Lamar, niece Imani  Lamar, brother James & Angela “Angie” Khabeb) v. Boyz II Men  (Diamond Derby)(Wanya, Shawn, Jo Koy, entertainment mgr Joe Mulvihill  & Jo's son Joseph Herbert, Jr.)",G1,,Ruffins,Boyz II Men,,,Ruffin,Boyz II Men
93,“Celebrity Family Feud” 7/31/22,Celebrity,,"G2:  Lo Truglios (LifeWire)(Joe, wife Beth Dover, dad Joseph P., mom Helen  & brother Brian) v. Lennons (Dogs Without Borders)(Tom, wife Jenny,  son Oliver, sister-in-law Amy Robertson Smith & brother-in-law Randy  Smith)",G2,,Lo Truglios,Lennons,,,Lo Truglio,Lennon
94,“Celebrity Family Feud” 7/24/22,Celebrity,,"G1:  “Never Have I Ever” (Boys & Girls Clubs of America)(Darren Barnet,  Benjamin Norris, Lee Rodriguez, Megan Suri & Ramona Young) v. “High  School Musical: The Musical: The Series” (Make a Wish America)(Joshua  Bassett, Sofia Wylie, Frankie Rodriguez, Dara Renee & Matt Cornett)",G1,,“Never Have I Ever”,“High  School Musical,,,“Never Have I Ever”,“High  School Musical
95,“Celebrity Family Feud” 7/24/22,Celebrity,,"G2:  Good Vibes Tribe (Community Partners' BLD PWR Organization)(Meagan  Good, sister La'Myia Good-Bellinger, brother-in-law Eric Bellinger,  little sister Lexus “Lexi” Wardlow & mom Tyra Wardlow) v. Funcheses  (Marine Toys for Tots)(Ron, wife Christina, mom Karen Skelton,  brother-in-law Alex Aboagye & sister & doctor Josalyn Aboagye)",G2,,Good Vibes Tribe,Funcheses,,,Good Vibes Tribe,Funches
96,“Celebrity Family Feud” 7/17/22,Celebrity,,"G1:  “The Proud Family” (A Place Called Home)(Kyla Pratt, Soleil Moon Frye,  Keke Palmer, Paula Jai Parker & Alisa Reyes) v. Salt-N-Pepa (Feeding  America)(Cheryl “Salt” James, Sandra “Pepa” Denton, Christopher “Kid”  Reid, Christopher “Play” Martin & Doug E. Fresh)",G1,,“The Proud Family”,Salt-N-Pepa,,,“The Proud Family”,Salt-N-Pepa
97,“Celebrity Family Feud” 7/17/22,Celebrity,,"G2:  “BEL-AIR” (Lupus Foundation of America)(Adrian Holmes, Cassandra  Freeman, Coco Jones, Olly Sholotan & Jordan L. Jones) v. “SAVED by  the BELL” (Make a Wish)(Mario Lopez, Dexter Darden, Haskiri Velazquez,  Josie Totah & Alycia Pascual-Pena)",G2,,“BEL-AIR”,“SAVED by  the BELL”,,,“BEL-AIR”,“SAVED by  the BELL”
98,“Celebrity Family Feud”- 8TH S.P.,Celebrity,,"G1:  “Abbott Elementary” (DonorsChoose)(Quinta Brunson, Sheryl Lee Ralph,  Lisa Ann Walter, Tyler James Williams & Ms. Joyce Abbott) v. “Hacks”  (Feeding America)(Jean Smart, Mark Indelicato, Poppy Liu, Rose Abdoo  & Christopher McDonald)",G1,,“Abbott Elementary”,“Hacks”,,,“Abbott Elementary”,“Hacks”
99,“Celebrity Family Feud”- 8TH S.P.,Celebrity,,"G2: Christensens (Cameron Heyward  Foundation)(Erika, Erika's husband Cole Maness, cousin Monet Hendricks,  aunt Kim Hendricks & brother Dane) v. Penns (Baby2Baby)(Kal,  sister-in-law Brandy Wright, brother-in-law John Nicholas “Nick” Wright,  sister-in-law Christina Freeman Modi & cousin Kripa Bhagat)",G2,,Christensens,Penns,,,Christensen,Penn
100,“Family Feud” 10/26/11 Nightcap,Standard,,"M-U: Schrievers (Randy, Robin, Crissie, Rick & Phyllis) v. Oguchis (Sonny, Brian, Phyllis, Stephanie & Kingsley)",M-U,,Schrievers,Oguchis,,,Schriever,Oguchi
101,“Family Feud”- 23RD REGULAR SEASON FINALE,Standard,,"G1: Sissons (Canton, GA)(Tracy, Gabby, Taylor, Rachel & Emily) v. Davises",G1,,Sissons,Davises,,,Sisson,Davis
102,“Family Feud”- 23RD REGULAR SEASON FINALE,Standard,,"G2: Shampains (Metuchen, NJ)(Zach, Joey, Sam, Lisa & Larry) v. Lucases",G2,,Shampains,Lucases,,,Shampain,Lucas
103,“Family Feud” 5/24/22,Standard,,"G1: Edwardses v. Davises (Locust Grove, GA)(Susan, Kerrie, Eric, Sydney & Bill)",G1,,Edwardses,Davises,,,Edwards,Davis
104,“Family Feud” 5/24/22,Standard,,"G2: Martins v. Lucases (Athens, GA)(Deborah, Theodore, Myron, Mianna & Markey)",G2,,Martins,Lucases,,,Martin,Lucas
105,“Family Feud” 5/23/22,Standard,,"G1: Edwardses (Perry Hall, MD)(Lisa, Lauren, Lindsey, Paul & Kya) v. Mielkes",G1,,Edwardses,Mielkes,,,Edwards,Mielk
106,“Family Feud” 5/23/22,Standard,,G2: Martins v. Davidenkos,G2,,Martins,Davidenkos,,,Martin,Davidenko
107,“Family Feud” 5/20/22,Standard,,"G1: Carswells v. Mielkes (West Des Moines)(Bruce, Sarah, Daryl, Jason & Andrew)",G1,,Carswells,Mielkes,,,Carswell,Mielk
108,“Family Feud” 5/20/22,Standard,,"CG: Martins (Marietta)(Kim, Kira, Luke, Patrice & Cheryl) v. Zayases",CG,,Martins,Zayases,,,Martin,Zayas
109,“Family Feud” 5/19/22,Standard,,G1: Carswells v. Credes,G1,,Carswells,Credes,,,Carswell,Cred
110,“Family Feud” 5/19/22,Standard,,"G2: Smahas (Chelsea took Amber's place, Ryan took Josh's place & Shellie took Ryan's place) v. Zayases",G2,,Smahas,Zayases,,,Smaha,Zayas
111,“Family Feud” 5/18/22,Standard,,"G1: Danners (Malvern, AR)(Beverly, Vickie, Sonya, Cynthia & Mickie) v. Credes",G1,,Danners,Credes,,,Danner,Cred
112,“Family Feud” 5/18/22,Standard,,"G2: Dykeses (Knoxville)(Kathy, Dion, Kristina, Zephanie & Scotty) v. Zayases",G2,,Dykeses,Zayases,,,Dykes,Zayas
113,“Family Feud” 5/17/22,Standard,,"G1: Garlands v. Credes (Charleston, WV)(Robin, Garry, Billy, Dennis & Kevin)",G1,,Garlands,Credes,,,Garland,Cred
114,“Family Feud” 5/17/22,Standard,,"G2: Cleggs (Larry, Doris, Victoria, Deborah & Shawntae) v. Zayases",G2,,Cleggs,Zayases,,,Clegg,Zayas
115,“Family Feud” 5/16/22,Standard,,"G1: Garlands v. Sudits (Parsippany, NJ)(Bella, Irene, David, Stephanie & Ed)",G1,,Garlands,Sudits,,,Garland,Sudit
116,“Family Feud” 5/16/22,Standard,,"G2: Holiens v. Zayases (Canton, GA)(Nancy, David, Nicole, Elvia & JL)",G2,,Holiens,Zayases,,,Holien,Zayas
117,“Family Feud” 5/13/22,Standard,,"G1: Garlands (Omaha)(Makayla, Kenny, Vicky, Robert & Carla) v. Olivareses",G1,,Garlands,Olivareses,,,Garland,Olivares
